Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.010226,1.463E-05,0.066865,0,0,0,11.718,0.24199,-0.00052939,-0.0083485,0.22599,-0.00015317,0.41409,0,0,0,0,0,0,package://infantry_V2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://infantry_V2/meshes/base_link.STL,,机体-V1-2,机体坐标系,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rf0_Link,0.059651,-0.0070505,-0.012414,0,0,0,0.86027,0.00057536,6.555E-05,-0.00018838,0.0041588,1.975E-05,0.0044906,0,0,0,0,0,0,package://infantry_V2/meshes/rf0_Link.STL,1,1,1,1,0,0,0,0,0,0,package://infantry_V2/meshes/rf0_Link.STL,,左侧装配体-V1-1/大腿装配体-V1-1/深沟球轴承碗-铝合金-V1-1;左侧装配体-V1-1/大腿装配体-V1-1/深沟球轴承-标准件-1;左侧装配体-V1-1/大腿装配体-V1-1/深沟球轴承-标准件-2;左侧装配体-V1-1/大腿装配体-V1-1/深沟球轴承碗-铝合金-V1-2;左侧装配体-V1-1/大腿装配体-V1-1/垫圈-标准件-1;左侧装配体-V1-1/大腿装配体-V1-1/大腿链轮固定-铝合金-V1-1;左侧装配体-V1-1/大腿装配体-V1-1/滚针轴承-标准件-1;左侧装配体-V1-1/大腿装配体-V1-1/碗组轴承-标准件-1;左侧装配体-V1-1/大腿装配体-V1-1/碗组轴承-标准件-2;左侧装配体-V1-1/大腿装配体-V1-1/小腿被动链轮-铝合金-V1-1;左侧装配体-V1-1/大腿装配体-V1-1/大腿-碳板(18mm)-V1-1;左侧装配体-V1-1/大腿装配体-V1-1/大腿被动链轮-铝合金-V2-1;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓沉头-标准件-1;左侧装配体-V1-1/大腿装配体-V1-1/六角螺母（防松）-标准件-3;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓小杯头-标准件-1;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓小杯头-标准件-2;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓小杯头-标准件-3;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓沉头-标准件-2;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓小杯头-标准件-4;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓小杯头-标准件-5;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓小杯头-标准件-6;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓小杯头-标准件-7;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓沉头-标准件-3;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓沉头-标准件-4;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓小杯头-标准件-8;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓小杯头-标准件-9;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓沉头-标准件-5;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓沉头-标准件-6;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓小杯头-标准件-10;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓小杯头-标准件-11;左侧装配体-V1-1/大腿装配体-V1-1/内六角塞打螺栓杯头-标准件-3;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓小杯头-标准件-12;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓小杯头-标准件-13;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓沉头-标准件-7;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓沉头-标准件-8;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓小杯头-标准件-14;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓杯头-标准件-1;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓沉头-标准件-9;左侧装配体-V1-1/大腿装配体-V1-1/髋关节轴承压盖-铝合金-V1-1;左侧装配体-V1-1/大腿装配体-V1-1/内六角螺栓平圆头-标准件-1;左侧装配体-V1-1/大腿装配体-V1-1/膝关节螺母-铝合金-V1-1;左侧装配体-V1-1/大腿装配体-V1-1/膝关节螺丝-铝合金-V1-1;左侧装配体-V1-1/大腿装配体-V1-1/碗组培林碗-标准件-1;左侧装配体-V1-1/大腿装配体-V1-1/碗组轴承-标准件-3;左侧装配体-V1-1/大腿装配体-V1-1/碗组轴承-标准件-4;左侧装配体-V1-1/大腿装配体-V1-1/碗组培林碗-标准件-2;左侧装配体-V1-1/大腿装配体-V1-1/膝关节底挡-铝合金-V1-1;左侧装配体-V1-1/大腿装配体-V1-1/膝关节培林垫圈-铝合金-V1-1;左侧装配体-V1-1/大腿装配体-V1-1/气弹簧(15-6-190)-标准件-1,cr0,r0,rf0_Joint,revolute,0,-0.1877,0.08725,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
rf1_Link,-0.0027879,-0.071068,0.0068255,0,0,0,0.30687,0.0024737,0.00012524,-3.47E-06,9.269E-05,3.434E-05,0.00254,0,0,0,0,0,0,package://infantry_V2/meshes/rf1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://infantry_V2/meshes/rf1_Link.STL,,左侧装配体-V1-1/小腿装配体-V1-1,cr1,r1,rf1_Joint,revolute,0.17472,0,0,0,0,0,rf0_Link,0,0,1,0,0,0,0,,,,,,,,
r_wheel_Link,4.1184E-06,-0.00019289,0.019562,0,0,0,0.4904,0.00033958,-1.4974E-08,3E-08,0.00034133,-1.52E-06,0.0005817,0,0,0,0,0,0,package://infantry_V2/meshes/r_wheel_Link.STL,1,1,1,1,0,0,0,0,0,0,package://infantry_V2/meshes/r_wheel_Link.STL,,左侧装配体-V1-1/13.72减速箱-交开源-1,cr2,r2,r_wheel_Joint,revolute,0,-0.208,0.016,0,0,0,rf1_Link,0,0,1,0,0,0,0,,,,,,,,
lf0_Link,0.059725,0.0070686,-0.012421,0,0,0,0.85991,0.0005748,-6.482E-05,-0.00018937,0.00415165,-2.008E-05,0.00448378,0,0,0,0,0,0,package://infantry_V2/meshes/lf0_Link.STL,1,1,1,1,0,0,0,0,0,0,package://infantry_V2/meshes/lf0_Link.STL,,右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓小杯头-标准件-1;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓小杯头-标准件-2;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓小杯头-标准件-3;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓沉头-标准件-1;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓沉头-标准件-2;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓小杯头-标准件-4;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓杯头-标准件-1;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓沉头-标准件-3;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓沉头-标准件-4;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓沉头-标准件-5;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓沉头-标准件-6;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓沉头-标准件-7;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓小杯头-标准件-5;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓平圆头-标准件-1;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角塞打螺栓杯头-标准件-3;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓小杯头-标准件-6;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓小杯头-标准件-7;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓小杯头-标准件-8;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓小杯头-标准件-9;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓小杯头-标准件-10;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓小杯头-标准件-11;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓小杯头-标准件-12;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓小杯头-标准件-13;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓小杯头-标准件-14;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓沉头-标准件-8;右侧装配体-V1-1/右侧大腿装配体-V1-1/内六角螺栓沉头-标准件-9;右侧装配体-V1-1/右侧大腿装配体-V1-1/六角螺母（防松）-标准件-4;右侧装配体-V1-1/右侧大腿装配体-V1-1/深沟球轴承碗-铝合金-V1-1;右侧装配体-V1-1/右侧大腿装配体-V1-1/深沟球轴承-标准件-1;右侧装配体-V1-1/右侧大腿装配体-V1-1/髋关节轴承压盖-铝合金-V1-1;右侧装配体-V1-1/右侧大腿装配体-V1-1/深沟球轴承碗-铝合金-V1-2;右侧装配体-V1-1/右侧大腿装配体-V1-1/垫圈-标准件-3;右侧装配体-V1-1/右侧大腿装配体-V1-1/深沟球轴承-标准件-2;右侧装配体-V1-1/右侧大腿装配体-V1-1/大腿链轮固定-铝合金-V1-1;右侧装配体-V1-1/右侧大腿装配体-V1-1/滚针轴承-标准件-1;右侧装配体-V1-1/右侧大腿装配体-V1-1/碗组轴承-标准件-1;右侧装配体-V1-1/右侧大腿装配体-V1-1/碗组轴承-标准件-2;右侧装配体-V1-1/右侧大腿装配体-V1-1/大腿被动链轮-铝合金-V2-1;右侧装配体-V1-1/右侧大腿装配体-V1-1/大腿-碳板(18mm)-V1-1;右侧装配体-V1-1/右侧大腿装配体-V1-1/小腿被动链轮-铝合金-V1-1;右侧装配体-V1-1/右侧大腿装配体-V1-1/气弹簧(15-6-190)-标准件-1;右侧装配体-V1-1/右侧大腿装配体-V1-1/膝关节螺丝-铝合金-V1-1;右侧装配体-V1-1/右侧大腿装配体-V1-1/碗组培林碗-标准件-1;右侧装配体-V1-1/右侧大腿装配体-V1-1/膝关节培林垫圈-铝合金-V1-1;右侧装配体-V1-1/右侧大腿装配体-V1-1/碗组培林碗-标准件-2;右侧装配体-V1-1/右侧大腿装配体-V1-1/膝关节螺母-铝合金-V1-1;右侧装配体-V1-1/右侧大腿装配体-V1-1/膝关节底挡-铝合金-V1-1;右侧装配体-V1-1/右侧大腿装配体-V1-1/碗组轴承-标准件-3;右侧装配体-V1-1/右侧大腿装配体-V1-1/碗组轴承-标准件-4,cl0,l0,lf0_Joint,revolute,0,0.1877,0.08725,-1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
lf1_Link,-0.0027891,0.071068,0.0068255,0,0,0,0.30687,0.00247367,-0.00012525,-3.47E-06,9.269E-05,-3.434E-05,0.00254003,0,0,0,0,0,0,package://infantry_V2/meshes/lf1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://infantry_V2/meshes/lf1_Link.STL,,右侧装配体-V1-1/右侧小腿装配体-V1-1,cl1,l1,lf1_Joint,revolute,0.17472,0,0,0,0,0,lf0_Link,0,0,1,0,0,0,0,,,,,,,,
l_wheel_Link,-4.1184E-06,0.00019289,0.019562,0,0,0,0.4904,0.00033958,-1.4974E-08,-3E-08,0.00034133,1.52E-06,0.0005817,0,0,0,0,0,0,package://infantry_V2/meshes/l_wheel_Link.STL,1,1,1,1,0,0,0,0,0,0,package://infantry_V2/meshes/l_wheel_Link.STL,,右侧装配体-V1-1/13.72减速箱-交开源-1,cl2,l2,l_wheel_Joint,revolute,0,0.208,0.016,0,0,0,lf1_Link,0,0,1,0,0,0,0,,,,,,,,
r20_Link,-0.0077129,-0.044014,0.0053168,0,0,0,0.058433,8.8597E-05,-1.3504E-05,8.258E-08,1.3901E-05,4.7124E-07,0.00010165,0,0,0,0,0,0,package://infantry_V2/meshes/r20_Link.STL,1,1,1,1,0,0,0,0,0,0,package://infantry_V2/meshes/r20_Link.STL,,左侧装配体-V1-1/大腿装配体-V1-1/小腿连杆-铝合金-V1-1,cr0,r0,r20_Joint,revolute,0,-0.1877,0.08725,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
r21_Link,0.05374,-0.013258,-0.01451,0,0,0,0.042999,5.0562E-06,1.2721E-05,-1.6463E-08,7.386E-05,4.385E-08,7.8315E-05,0,0,0,0,0,0,package://infantry_V2/meshes/r21_Link.STL,1,1,1,1,0,0,0,0,0,0,package://infantry_V2/meshes/r21_Link.STL,,左侧装配体-V1-1/大腿装配体-V1-1/小腿连杆2-铝合金-V1-1,cr21,r21,r21_Link,revolute,-0.016285,-0.092933,0.01,0,0,0,r20_Link,0,0,1,0,0,0,0,,,,,,,,
r22_Link,-0.006381,0.08888,-0.0045,0,0,0,0.065877,0.00020374,1.8759E-05,-2.2828E-21,8.1944E-06,1.5229E-20,0.00021104,0,0,0,0,0,0,package://infantry_V2/meshes/r22_Link.STL,1,1,1,1,0,0,0,0,0,0,package://infantry_V2/meshes/r22_Link.STL,,左侧装配体-V1-1/大腿装配体-V1-1/大小腿连杆-碳板(9mm)-V1-1,cr22,r22,r22_Joint,revolute,0.11063,-0.019387,0,0,0,0,r21_Link,0,0,1,0,0,0,0,,,,,,,,
